"id","id2","full_call","short_call","main","topic","class","subclass","matched_class","matched_subclass","matched_lowtopic","matched_hightopic","match_x","match_y","multimatch"
"uc2.ark+=13960=t18k7665n","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t18k77d7q","14004235","Z722.R52;Z722.R52","Z722","Z","722","Z","","Z","","","","494.146241607236","117.521907956583","0"
"uc2.ark+=13960=t18k78405","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t18k7cj94","21026419","GN400.R4;GN400.R4","GN400","GN","400","G","N","G","N","301","674","479.291809444444","96.2208401111111","0"
"uc2.ark+=13960=t19k48s0v","11000422","BS2350.C6 1910;BS2350.C6 1910","BS2350","BS","2350","B","S","B","","","","476.303576671572","94.5194084680454","0"
"uc2.ark+=13960=t1bk18m4q","8000794","BL53.R3;BL53.R3","BL53","BL","53","B","L","B","L","51","65","448.88177","162.9204","0"
"uc2.ark+=13960=t1bk18z27","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1bk19b51","4014823","G73.K52;G73.K52","G73","G","73","G","","G","","1","922","106.848795883636","91.8219869603636","0"
"uc2.ark+=13960=t1dj5bm5t","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1dj5br63","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1dj5c45z","e15001760","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1dj5c65v","21003479","HM57.M87;HM57.M87","HM57","HM","57","H","M","H","","","","482.753497147051","127.326241025193","0"
"uc2.ark+=13960=t1fj2f59b","20014005","DK265.S63;DK265.S63","DK265","DK","265","D","K","D","K","265","265","486.58148","47.40796","0"
"uc2.ark+=13960=t1fj2h43t","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1fj2j55n","1000928","BL2747.G83 1897;BL2747.G83 1897","BL2747","BL","2747","B","L","B","L","1","2790","486.3146925","61.27794125","0"
"uc2.ark+=13960=t1gh9bs2d","62002220","DA566.8.R4;DA566.8.R4","DA566","DA","566","D","A","D","A","566","592","485.9425","47.40796","0"
"uc2.ark+=13960=t1gh9db1x","4009586","DC137.2.I3;DC137.2.I3","DC137","DC","137","D","C","D","C","110","433","485.197025","40.854064","0"
"uc2.ark+=13960=t1gh9dq5s","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1hh6df7b","8027500","BF21.A7 no. 11;BF21.A7 no. 11","BF21","BF","21","B","F","B","F","21","21","455.91055","175.20895","0"
"uc2.ark+=13960=t1hh6dh4s","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1hh6f67m","sg21000042","BR110.H6;BR110.H6","BR110","BR","110","B","R","B","R","1","1725","486.112615535714","44.7346468392857","0"
"uc2.ark+=13960=t1hh6j215","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1jh3f62c","4021575","QL569.F71;QL569.F71","QL569","QL","569","Q","L","Q","L","461","599.82","270.60703","43.721394","0"
"uc2.ark+=13960=t1jh3fs9c","21027324","Z5811.B66;Z5811.B66","Z5811","Z","5811","Z","","Z","","5051","7999","498.739580310697","129.190362674948","0"
"uc2.ark+=13960=t1jh3gm82","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t1jh3gq30","10011528","LC1043.G5;LC1059.G6","LC1043","LC","1043","L","C","L","","","","477.450583","102.1775434","0"
